precio,ubicacion,habitaciones,baños,parqueaderos,area,descripcion,tipo_propiedad,ciudad_final,precio_por_m2
3300000000,"envigado, loma del escobero, palmas",4.0,4.0,2.0,450.0,zonas tranquilas exclusivas retiro antioquia encuentra hermosa casa campestre lista ser hogar sueños impresionante vista panorámica cuenta área terreno perfecta aquellos buscan amplio espacio disfrutar naturaleza privacidad ofrece vida campestre construcción distribuidos sola planta casa cuenta diseño moderno elegante amplias luminosas habitaciones total 4 baños diseño exclusivo además cuenta cochera garaje capacidad 2 vehículos mayor comodidad seguridad interior encontrarás todas comodidades necesitas vida cómoda relajada armarios empotrados todas habitaciones podrás mantener orden aprovechar máximo espacio baños auxiliares baño habitación principal equipados mejores acabados accesorios alta calidad además cuenta bibliotecaestudio ideal trabajan casa amantes lectura cocina equipada electrodomésticos modernos cocina integral perfecta amantes gastronomía además cuenta comedor auxiliar compartir mejores momentos familia encontrarás despensa depósito almacenar alimentos objetos personales disfruta casa detalles lujo doble ventana piso cerámica mármol todas áreas creando ambiente elegante confortable además cuenta habitación servicio hall alcobas conecta todas habitaciones días relajación jacuzzi terrazas vista montaña lugar perfecto escapar estrés renovar energías entorno rodeado naturaleza cuenta acceso pavimentado árboles frutales dan,Casa campestre en venta,cali,7333333.333333333
350000000,"solares de morada vii y viii, br senderos de morada, solares de morada v y vi",2.0,3.0,2.0,100.0,hermosa casa castillo zona jamundí sur ciudad cali consta 2 niveles amplios espacios 2 habitaciones mas estudio puede hacer reformas garaje 2 carros sala amplia comedor vestier zona ropas piscina salón social muchas zonas verdes,Casa en venta,cali,3500000.0
1200000000,"calera, plazuela, alto de virgen",4.0,8.0,12.0,5127.0,expectacular casafinca campestre vía bogotá calera km 85 construidos tres alcobas todas bano estudio sala chimenea comedor cuarto servicio baño area bbq casa vigilancia parqueadero amplio bosque nativo extraordinaria vista,Casa campestre en venta,bogota,234055.00292568753
194000000,"loma del atravesado, palmas, mesa",3.0,1.0,,78.0,encantadora casa cuenta servicios completos incluyendo gas red cocina baño ofrece amplio balcón 3 acogedoras habitaciones salacomedor zona ropas cocina sencilla 1 clóset 1 baño casa encuentra perfectas condiciones conservación mantenimiento actualmemnte rentando contrato marzo 2024,Casa en venta,medellin,2487179.487179487
1290000000,"bogota, monaco, puente largo",4.0,3.0,2.0,445.0,,Casa en venta,bogota,2898876.404494382
170000000,"boston, buenos aires, miraflores",3.0,2.0,,75.0,casa 2 pisos independientes espacios grandes ambiente familiar negocio familia,Casa en venta,medellin,2266666.6666666665
700000000,"san pedro, san vicente, santa monica",7.0,8.0,2.0,359.7,casa ubicada barrio juanambú norte cali consta dos pisos independientes área total construida 359 área lote terreno 226 primer piso antejardín garaje sala comedor cocina 3 alcobas 2 baños completos hall zona oficio cuarto servicio baño segundo piso 3 cuartos 2 baños hall balcón precio 700000000 contáctanos información,Casa en venta,cali,1946066.1662496526
500000000,"barranquilla, recreo, san jose",3.0,5.0,3.0,200.0,ciudad barranquilla encuentra impresionante casa 3 habitaciones 5 baños closet cocina integral hall alcobas elegancia comodidad espacios amplios cada rincón sido cuidadosamente pensado brindar máximo confort 3 parqueaderos ofrecen conveniencia seguridad vehículos casa lugar perfecto aquellos buscan hogar combine estilo funcionalidad sofisticación solo lugar bienvenido nuevo hogar,Casa en venta,barranquilla,2500000.0
168000000,"espinal, br portal del bunde, caballero y gongora",3.0,4.0,2.0,94.0,casa dos pisos excelente área ubicación iluminación ventilación consta tres alcobas dos closet tres baños salacomedorestudio cocina semiintegral zona ropas patio garaje,Casa en venta,desconocida,1787234.0425531915
890000000,"porvenir, san antonio, rionegro",4.0,8.0,2.0,203.0,casa parcelación cerrada san antonio pereira – rionegro espacio podrás disfrutar excelente ubicación fácil acceso amplia variedad bienes servicios casa tipo dúplex podrás encontrar primer nivel amplia zona social prevista sala comedor baño social amplia cocina integral acceso patio interior espacio cielo abierto habitación zona ropas encerrada nivel encontraras parqueadero cubierto acceso segundo nivel encontraras amplio hall alcobas habitación principal balcón vista exterior cuenta baño vestier encontraras tercera habitación baño vestier balcón vista patio interior cuarta habitación propio baño unidad cuenta vigilancia 24 horas encuentra ubicado sector residencial fácil acceso rutas transporte amplia variedad bienes servicios quieres conocerlo conocer relación contáctame si quieres conocerlo,Casa en venta,pereira,4384236.45320197
